Symbol,Side,Order Type,Original Quantity,Liq Price,Order Status,TimeStamp,Value
1INCHUSDT,BUY,LIMIT,299,0.3505,FILLED,15:54:29,104.7995
DOGEUSDT,SELL,LIMIT,1243,0.07243,FILLED,15:54:55,90.03048999999999
DOGEUSDT,SELL,LIMIT,52957,0.07236,FILLED,15:55:06,3831.9685199999994
1000PEPEUSDT,SELL,LIMIT,1697693,0.0017995,FILLED,15:55:14,3054.9985535
1000PEPEUSDT,SELL,LIMIT,35382,0.0017943,FILLED,15:55:16,63.4859226
1000PEPEUSDT,SELL,LIMIT,768134,0.0017993,FILLED,15:55:17,1382.1035062
1000PEPEUSDT,SELL,LIMIT,53911,0.0017931,FILLED,15:55:21,96.6678141
1000PEPEUSDT,SELL,LIMIT,35102,0.0017938,FILLED,15:55:22,62.9659676
GALAUSDT,BUY,LIMIT,30721,0.02667,FILLED,15:55:24,819.32907
1000PEPEUSDT,SELL,LIMIT,4664,0.001796,FILLED,15:55:24,8.376544
GALAUSDT,BUY,LIMIT,4851,0.02669,FILLED,15:55:29,129.47319
GALAUSDT,BUY,LIMIT,227,0.02669,FILLED,15:55:31,6.05863
GALAUSDT,BUY,LIMIT,15470,0.02671,FILLED,15:55:33,413.2037
GALAUSDT,BUY,LIMIT,165926,0.02671,FILLED,15:55:39,4431.88346
GALAUSDT,BUY,LIMIT,170452,0.0268,FILLED,15:55:42,4568.113600000001
GALABUSD,BUY,LIMIT,7152,0.0267898,FILLED,15:55:43,191.6006496
GALAUSDT,BUY,LIMIT,42672,0.02676,FILLED,15:55:43,1141.90272
DOTUSDT,SELL,LIMIT,3.6,5.64,FILLED,15:55:43,20.304
BCHUSDT,SELL,LIMIT,1.213,252.04,FILLED,11:39:39,305.72452
1000SHIBUSDT,SELL,LIMIT,39466,0.008316,FILLED,11:39:40,328.199256
BNBUSDT,SELL,LIMIT,0.1,250.44,FILLED,11:39:40,25.044
BCHUSDT,SELL,LIMIT,2.305,252,FILLED,11:39:46,580.86
BCHUSDT,SELL,LIMIT,19,251.38,FILLED,11:39:49,4776.22
BCHUSDT,SELL,LIMIT,0.048,251.72,FILLED,11:39:50,12.08256
COMPUSDT,BUY,LIMIT,0.35,76.96,FILLED,11:47:55,26.935999999999996
COMPUSDT,BUY,LIMIT,6.881,77.36,FILLED,11:47:56,532.31416
COMPUSDT,BUY,LIMIT,0.509,77.78,FILLED,11:47:57,39.59002
STORJUSDT,SELL,LIMIT,120,0.3085,FILLED,11:47:57,37.019999999999996
XVGUSDT,SELL,LIMIT,3378,0.006094,FILLED,11:47:57,20.585531999999997
BCHUSDT,SELL,LIMIT,0.086,253.91,FILLED,11:47:57,21.83626
COMPUSDT,BUY,LIMIT,11.513,77.33,FILLED,11:47:58,890.30029
SOLUSDT,BUY,LIMIT,54,29.01,FILLED,11:47:58,1566.5400000000002
FOOTBALLUSDT,SELL,LIMIT,0.97,400.78,FILLED,11:47:58,388.75659999999993
SOLUSDT,BUY,LIMIT,1176,29.0273,FILLED,11:48:04,34136.1048
SOLUSDT,BUY,LIMIT,1,29.044,FILLED,11:48:08,29.044
